timestamp,label,frame,activity,posture,burst,spread,window_label,window_motion,window_motion_mean,window_motion_peak,window_posture,window_burst,window_spread,active_ratio,peaks
1783540417.035,left_wave,15345,0.000000,9.275646,0.080936,0.308333,疑似蹲下/起立,0.738818,0.337696,0.954925,10.276750,1.223145,0.245417,0.000000,0
1783540417.068,left_wave,15346,0.000000,9.260883,0.067916,0.308333,疑似蹲下/起立,0.737268,0.333268,0.954925,10.276750,1.223145,0.248167,0.000000,0
1783540417.096,left_wave,15347,0.012534,9.235120,0.093824,0.291667,疑似蹲下/起立,0.735642,0.328624,0.954925,10.276750,1.223145,0.251083,0.000000,0
1783540417.130,left_wave,15348,0.025901,9.218373,0.115589,0.308333,疑似蹲下/起立,0.733986,0.323891,0.954925,10.276750,1.223145,0.254000,0.000000,0
1783540417.155,left_wave,15349,0.000000,9.156063,0.090440,0.283333,疑似蹲下/起立,0.732106,0.318521,0.954925,10.276750,1.223145,0.256417,0.000000,0
1783540417.219,left_wave,15350,0.014924,9.115561,0.113389,0.283333,疑似蹲下/起立,0.730160,0.312959,0.954925,10.276750,1.223145,0.258917,0.000000,0
1783540417.245,left_wave,15351,0.029445,9.140660,0.146126,0.291667,疑似蹲下/起立,0.728102,0.307080,0.954925,10.276750,1.223145,0.261750,0.000000,0
1783540417.305,left_wave,15352,0.038884,9.156975,0.167406,0.291667,疑似蹲下/起立,0.725972,0.300994,0.954925,10.276750,1.223145,0.264667,0.000000,0
1783540417.335,left_wave,15353,0.043028,9.107537,0.163417,0.300000,疑似蹲下/起立,0.723754,0.294658,0.954925,10.276750,1.223145,0.267667,0.000000,0
1783540417.366,left_wave,15354,0.045722,9.075403,0.160824,0.291667,疑似蹲下/起立,0.721480,0.288159,0.954925,10.276750,1.223145,0.270583,0.000000,0
1783540417.402,left_wave,15355,0.039312,9.093583,0.135882,0.283333,疑似蹲下/起立,0.719139,0.281473,0.954925,10.276750,1.223145,0.272667,0.000000,0
1783540417.457,left_wave,15356,0.035146,9.168980,0.119669,0.283333,疑似蹲下/起立,0.716756,0.274664,0.954925,10.276750,1.223145,0.274000,0.000000,0
1783540417.487,left_wave,15357,0.032438,9.217988,0.109131,0.300000,疑似蹲下/起立,0.711406,0.267077,0.954925,10.276750,1.223145,0.276083,0.000000,0
