timestamp,label,frame,activity,posture,burst,spread,window_label,window_motion,window_motion_mean,window_motion_peak,window_posture,window_burst,window_spread,active_ratio,peaks
1783540224.616,right_wave,9456,0.351778,5.821287,0.268621,0.150000,疑似摔倒,3.157551,0.962953,4.996953,10.193463,5.036787,0.133333,0.220000,2
1783540224.645,right_wave,9457,0.256397,5.895586,0.185949,0.125000,疑似摔倒,3.119354,0.928112,4.996953,10.193463,5.036787,0.134500,0.210000,2
1783540224.675,right_wave,9458,0.172709,5.969818,0.115207,0.141667,疑似摔倒,3.060822,0.889508,4.996953,10.193463,5.036787,0.134167,0.200000,2
1783540224.708,right_wave,9459,0.140002,6.018068,0.086230,0.133333,疑似摔倒,2.988444,0.848675,4.996953,10.193463,5.036787,0.135417,0.190000,1
1783540224.743,right_wave,9460,0.118743,6.049430,0.067395,0.125000,疑似摔倒,2.878208,0.799893,4.849806,10.193463,5.036787,0.135167,0.180000,1
1783540224.764,right_wave,9461,0.069792,5.998044,0.038147,0.125000,疑似摔倒,2.728864,0.752093,4.731974,10.193463,4.873961,0.134667,0.170000,1
1783540224.791,right_wave,9462,0.098578,5.964643,0.088308,0.125000,小动作/不确定,2.572143,0.705759,4.631892,10.193463,4.656631,0.133833,0.160000,1
1783540224.826,right_wave,9463,0.117289,5.933776,0.120914,0.125000,疑似蹲下/起立,2.265833,0.660613,3.705558,10.193463,3.719128,0.133083,0.150000,1
1783540224.851,right_wave,9464,0.129451,5.849874,0.142107,0.125000,疑似蹲下/起立,2.175812,0.624852,3.549224,10.193463,3.719128,0.132417,0.140000,1
1783540224.917,right_wave,9465,0.157986,5.795251,0.185202,0.108333,疑似蹲下/起立,2.115619,0.598106,3.549224,10.193463,3.719128,0.131333,0.130000,1
1783540224.942,right_wave,9466,0.176534,5.759745,0.249237,0.100000,疑似蹲下/起立,2.083551,0.578428,3.549224,10.193463,3.719128,0.130167,0.120000,1
1783540224.973,right_wave,9467,0.342193,5.723363,0.419076,0.108333,疑似蹲下/起立,2.067508,0.567122,3.549224,10.193463,3.719128,0.129000,0.110000,1
1783540225.006,right_wave,9468,0.449872,5.708869,0.529471,0.108333,疑似蹲下/起立,2.065456,0.561258,3.549224,10.193463,3.719128,0.127833,0.110000,1
1783540225.035,right_wave,9469,0.519863,5.690294,0.601227,0.108333,疑似蹲下/起立,2.064641,0.558931,3.549224,10.193463,3.719128,0.126583,0.110000,1
1783540225.064,right_wave,9470,0.458523,5.673103,0.564488,0.108333,疑似蹲下/起立,2.063514,0.555709,3.549224,10.193463,3.719128,0.125333,0.110000,1
1783540225.124,right_wave,9471,0.418652,5.667046,0.540607,0.141667,疑似蹲下/起立,2.061719,0.550582,3.549224,10.193463,3.719128,0.124667,0.110000,1
1783540225.158,right_wave,9472,0.392735,5.672263,0.525085,0.150000,疑似蹲下/起立,2.031088,0.538121,3.549224,10.193463,3.719128,0.124500,0.100000,1
1783540225.219,right_wave,9473,0.375890,5.675654,0.514995,0.183333,疑似蹲下/起立,1.975559,0.520061,3.549224,10.193463,3.719128,0.123917,0.090000,1
1783540225.244,right_wave,9474,0.364940,5.765125,0.508437,0.233333,疑似蹲下/起立,1.899777,0.496967,3.549224,10.193463,3.719128,0.123667,0.080000,1
1783540225.271,right_wave,9475,0.868461,6.293100,1.120363,0.341667,疑似蹲下/起立,1.810453,0.475181,3.549224,10.193463,3.719128,0.124500,0.070000,1
1783540225.304,right_wave,9476,1.800874,7.083588,2.203801,0.441667,疑似蹲下/起立,1.749424,0.460296,3.549224,10.193463,3.719128,0.125417,0.070000,1
1783540225.335,right_wave,9477,2.522614,7.919438,2.908035,0.408333,疑似蹲下/起立,1.700682,0.451053,3.549224,10.193463,3.664887,0.125750,0.070000,0
1783540225.364,right_wave,9478,3.136849,8.462740,3.672421,0.275000,疑似蹲下/起立,1.685281,0.446930,3.152363,10.193463,3.672421,0.124917,0.070000,0
1783540225.393,right_wave,9479,3.609923,8.815886,4.183965,0.141667,疑似蹲下/起立,1.806350,0.451505,3.609923,10.193463,4.183965,0.122750,0.070000,0
1783540225.424,right_wave,9480,4.180679,9.273762,4.631773,0.225000,小动作/不确定,1.964303,0.468186,4.180679,10.193463,4.631773,0.121750,0.070000,0
1783540225.484,right_wave,9481,4.551671,9.571381,4.835331,0.225000,疑似摔倒,2.114348,0.494853,4.551671,10.193463,4.835330,0.120667,0.070000,0
1783540225.513,right_wave,9482,4.755773,9.764833,4.939856,0.225000,疑似摔倒,2.269681,0.527640,4.755773,10.154752,4.939856,0.120333,0.070000,0
1783540225.542,right_wave,9483,4.888439,9.120184,5.007798,0.166667,疑似摔倒,2.436525,0.565019,4.888439,10.010716,5.007798,0.119750,0.080000,0
1783540225.577,right_wave,9484,4.974672,8.631043,5.051960,0.083333,疑似摔倒,2.610850,0.605384,4.974672,9.764833,5.051960,0.118500,0.090000,0
1783540225.604,right_wave,9485,5.030724,8.383220,4.866653,0.200000,疑似摔倒,2.781741,0.647688,5.030724,9.764833,5.051960,0.118750,0.100000,0
1783540225.635,right_wave,9486,5.067157,8.531115,4.746203,0.366667,疑似摔倒,2.954534,0.691585,5.067157,9.764833,5.051960,0.120667,0.110000,0
1783540225.660,right_wave,9487,5.090839,8.627246,4.667911,0.400000,疑似摔倒,3.128556,0.736517,5.090839,9.764833,5.051960,0.123000,0.120000,0
1783540225.721,right_wave,9488,5.106232,9.156137,4.429085,0.375000,疑似摔倒,3.268469,0.782123,5.106232,9.764833,5.051960,0.125250,0.130000,0
1783540225.752,right_wave,9489,4.600985,10.043568,4.095824,0.391667,疑似摔倒,3.360719,0.823013,5.106232,10.043568,5.051960,0.127500,0.140000,1
1783540225.783,right_wave,9490,4.272574,10.942166,3.863851,0.408333,疑似摔倒,3.416297,0.860120,5.106232,10.942166,5.051960,0.129917,0.150000,1
1783540225.811,right_wave,9491,4.059107,11.526255,3.713068,0.458333,疑似摔倒,3.445255,0.894733,5.106232,11.526255,5.051960,0.133917,0.160000,1
